cnt,mnth,hr,holiday,workingday,weathersit,temp,atemp,hum,windspeed,season
71,1,13,0,1,1,0.28,0.2576,0.3,0.2985,1
62,1,14,0,1,1,0.3,0.2879,0.28,0.194,1
62,1,15,0,1,1,0.3,0.2879,0.28,0.194,1
89,1,16,0,1,1,0.3,0.3182,0.28,0.0896,1
190,1,17,0,1,1,0.24,0.2273,0.38,0.194,1
169,1,18,0,1,1,0.24,0.2424,0.38,0.1343,1
132,1,19,0,1,1,0.24,0.2576,0.38,0.1045,1
89,1,20,0,1,1,0.22,0.2273,0.47,0.1642,1
43,1,21,0,1,1,0.2,0.197,0.51,0.194,1
42,1,22,0,1,1,0.18,0.197,0.55,0.1343,1
19,1,23,0,1,1,0.2,0.2576,0.47,0,1
11,1,0,0,1,1,0.18,0.2424,0.55,0,1
4,1,1,0,1,1,0.16,0.2273,0.64,0,1
2,1,2,0,1,1,0.16,0.2273,0.64,0,1
1,1,4,0,1,2,0.16,0.197,0.64,0.0896,1
4,1,5,0,1,2,0.14,0.1818,0.69,0.0896,1
36,1,6,0,1,2,0.14,0.1667,0.63,0.1045,1
95,1,7,0,1,2,0.16,0.2273,0.59,0,1
219,1,8,0,1,1,0.16,0.2273,0.59,0,1
122,1,9,0,1,2,0.18,0.2424,0.51,0,1
45,1,10,0,1,1,0.2,0.2576,0.47,0,1
59,1,11,0,1,1,0.22,0.2576,0.44,0.0896,1
84,1,12,0,1,1,0.26,0.2879,0.35,0,1
67,1,13,0,1,1,0.26,0.2727,0.35,0.1045,1
70,1,14,0,1,1,0.28,0.2727,0.36,0.1642,1
62,1,15,0,1,1,0.28,0.2727,0.36,0,1
86,1,16,0,1,1,0.26,0.2576,0.38,0.1642,1
172,1,17,0,1,1,0.22,0.2273,0.51,0.1642,1
163,1,18,0,1,1,0.22,0.2273,0.51,0.1343,1
112,1,19,0,1,1,0.22,0.2576,0.55,0.0896,1
69,1,20,0,1,1,0.2,0.2121,0.51,0.1642,1
48,1,21,0,1,2,0.22,0.2121,0.55,0.2239,1
52,1,22,0,1,2,0.22,0.2121,0.51,0.2836,1
23,1,23,0,1,2,0.2,0.197,0.59,0.194,1
17,1,0,0,1,2,0.2,0.197,0.64,0.194,1
7,1,1,0,1,2,0.2,0.197,0.69,0.2239,1
1,1,2,0,1,2,0.2,0.197,0.69,0.2239,1
1,1,4,0,1,2,0.2,0.2121,0.69,0.1343,1
5,1,5,0,1,3,0.22,0.2727,0.55,0,1
34,1,6,0,1,2,0.2,0.2576,0.69,0,1
84,1,7,0,1,1,0.2,0.2121,0.69,0.1343,1
210,1,8,0,1,1,0.2,0.197,0.51,0.2537,1
134,1,9,0,1,1,0.2,0.1818,0.47,0.2985,1
63,1,10,0,1,1,0.22,0.197,0.37,0.3284,1
67,1,11,0,1,2,0.2,0.197,0.4,0.2239,1
59,1,12,0,1,2,0.2,0.197,0.37,0.2537,1
73,1,13,0,1,2,0.2,0.1818,0.37,0.2836,1
50,1,14,0,1,2,0.2,0.197,0.4,0.2537,1
72,1,15,0,1,2,0.2,0.2121,0.37,0.1642,1
87,1,16,0,1,2,0.2,0.2121,0.37,0.1642,1
187,1,17,0,1,2,0.2,0.2576,0.37,0,1
123,1,18,0,1,1,0.2,0.2273,0.4,0.0896,1
95,1,19,0,1,1,0.16,0.197,0.55,0.0896,1
51,1,20,0,1,1,0.18,0.2121,0.47,0.1045,1
39,1,21,0,1,1,0.18,0.197,0.47,0.1343,1
36,1,22,0,1,2,0.18,0.197,0.43,0.1642,1
15,1,23,0,1,2,0.18,0.197,0.51,0.1642,1
25,1,0,0,0,2,0.18,0.197,0.51,0.1642,1
16,1,1,0,0,2,0.18,0.2121,0.55,0.0896,1
16,1,2,0,0,2,0.18,0.2424,0.55,0,1
7,1,3,0,0,3,0.18,0.197,0.55,0.1642,1
1,1,4,0,0,3,0.18,0.197,0.55,0.1642,1
5,1,5,0,0,2,0.16,0.1667,0.74,0.1642,1
2,1,6,0,0,2,0.16,0.1667,0.74,0.1642,1
9,1,7,0,0,2,0.16,0.1818,0.74,0.1045,1
15,1,8,0,0,3,0.16,0.1818,0.93,0.1045,1
20,1,9,0,0,3,0.16,0.1818,0.93,0.1045,1
61,1,10,0,0,2,0.18,0.197,0.8,0.1642,1
62,1,11,0,0,2,0.2,0.1818,0.69,0.3881,1
98,1,12,0,0,2,0.2,0.1818,0.59,0.3582,1
102,1,13,0,0,1,0.2,0.1818,0.44,0.3284,1
95,1,14,0,0,1,0.2,0.1667,0.32,0.4925,1
74,1,15,0,0,1,0.2,0.1667,0.32,0.4478,1
76,1,16,0,0,1,0.18,0.1364,0.29,0.4478,1
69,1,17,0,0,1,0.16,0.1212,0.37,0.5522,1
55,1,18,0,0,1,0.14,0.1212,0.39,0.2985,1
30,1,19,0,0,1,0.14,0.1212,0.36,0.2537,1
28,1,20,0,0,1,0.12,0.1212,0.36,0.2537,1
37,1,21,0,0,1,0.12,0.1061,0.39,0.3582,1
34,1,22,0,0,1,0.12,0.1061,0.36,0.3881,1
22,1,23,0,0,1,0.1,0.0606,0.39,0.4478,1
25,1,0,0,0,1,0.1,0.0758,0.42,0.3881,1
12,1,1,0,0,1,0.1,0.0606,0.42,0.4627,1
11,1,2,0,0,1,0.1,0.0606,0.46,0.4627,1
4,1,3,0,0,1,0.1,0.0758,0.46,0.4179,1
1,1,4,0,0,1,0.08,0.0909,0.53,0.194,1
1,1,5,0,0,1,0.08,0.0909,0.53,0.194,1
1,1,6,0,0,1,0.1,0.0909,0.49,0.2836,1
6,1,7,0,0,1,0.08,0.0909,0.53,0.194,1
10,1,8,0,0,1,0.1,0.0909,0.49,0.2836,1
19,1,9,0,0,1,0.12,0.0758,0.46,0.5224,1
49,1,10,0,0,1,0.14,0.1061,0.43,0.3881,1
49,1,11,0,0,1,0.16,0.1212,0.4,0.5224,1
83,1,12,0,0,1,0.18,0.1364,0.37,0.4478,1
75,1,13,0,0,1,0.2,0.1667,0.34,0.4478,1
72,1,14,0,0,1,0.22,0.1818,0.32,0.4627,1
82,1,15,0,0,1,0.22,0.197,0.35,0.3582,1
92,1,16,0,0,1,0.2,0.1667,0.34,0.4478,1
62,1,17,0,0,1,0.18,0.1515,0.37,0.3881,1
48,1,18,0,0,1,0.16,0.1364,0.4,0.3284,1
41,1,19,0,0,1,0.16,0.1364,0.43,0.3284,1
38,1,20,0,0,1,0.14,0.1212,0.46,0.2537,1
20,1,21,0,0,1,0.14,0.1061,0.46,0.4179,1
15,1,22,0,0,1,0.14,0.1212,0.46,0.2985,1
6,1,23,0,0,1,0.12,0.1364,0.5,0.194,1
5,1,0,0,1,1,0.12,0.1212,0.5,0.2836,1
1,1,1,0,1,1,0.12,0.1212,0.5,0.2836,1
3,1,2,0,1,1,0.12,0.1212,0.5,0.2239,1
1,1,3,0,1,1,0.12,0.1212,0.5,0.2239,1
3,1,4,0,1,1,0.1,0.1212,0.54,0.1343,1
3,1,5,0,1,1,0.1,0.1061,0.54,0.2537,1
31,1,6,0,1,1,0.12,0.1212,0.5,0.2836,1
77,1,7,0,1,1,0.12,0.1212,0.5,0.2239,1
188,1,8,0,1,2,0.12,0.1212,0.5,0.2836,1
94,1,9,0,1,2,0.14,0.1212,0.5,0.2537,1
31,1,10,0,1,2,0.14,0.1212,0.5,0.2985,1
30,1,11,0,1,2,0.16,0.1364,0.47,0.2836,1
52,1,12,0,1,2,0.2,0.1818,0.4,0.2836,1
54,1,13,0,1,2,0.2,0.1818,0.4,0.2836,1
47,1,14,0,1,2,0.2,0.197,0.4,0.2239,1
45,1,15,0,1,2,0.2,0.197,0.4,0.2239,1
74,1,16,0,1,1,0.2,0.2121,0.4,0.1343,1
178,1,17,0,1,1,0.2,0.2273,0.4,0.1045,1
155,1,18,0,1,1,0.2,0.197,0.4,0.2239,1
95,1,19,0,1,1,0.16,0.1667,0.47,0.1642,1
74,1,20,0,1,1,0.16,0.1667,0.5,0.1642,1
38,1,21,0,1,1,0.14,0.1364,0.59,0.194,1
24,1,22,0,1,1,0.14,0.1515,0.59,0.1642,1
18,1,23,0,1,1,0.14,0.1515,0.59,0.1642,1
12,1,0,0,1,1,0.14,0.1667,0.59,0.1045,1
3,1,1,0,1,1,0.14,0.1515,0.59,0.1642,1
3,1,2,0,1,2,0.16,0.1515,0.55,0.194,1
6,1,5,0,1,2,0.16,0.1818,0.55,0.1343,1
27,1,6,0,1,2,0.16,0.1818,0.55,0.1343,1
99,1,7,0,1,2,0.16,0.2273,0.55,0,1
217,1,8,0,1,2,0.18,0.2121,0.51,0.0896,1
130,1,9,0,1,2,0.18,0.197,0.51,0.1642,1
54,1,10,0,1,2,0.2,0.2121,0.51,0.1642,1
35,1,11,0,1,2,0.2,0.2121,0.47,0.1343,1
57,1,12,0,1,2,0.2,0.2273,0.51,0.1045,1
52,1,13,0,1,2,0.2,0.2273,0.59,0.0896,1
63,1,14,0,1,2,0.2,0.2273,0.59,0.0896,1
47,1,15,0,1,2,0.16,0.197,0.8,0.0896,1
76,1,16,0,1,2,0.16,0.1515,0.86,0.2239,1
136,1,17,0,1,2,0.16,0.1515,0.86,0.2239,1
95,1,18,0,1,3,0.16,0.1818,0.93,0.1045,1
51,1,19,0,1,3,0.16,0.2273,0.93,0,1
32,1,20,0,1,3,0.16,0.1515,0.93,0.194,1
20,1,21,0,1,3,0.16,0.197,0.86,0.0896,1
29,1,22,0,1,3,0.16,0.1818,0.93,0.1045,1
19,1,23,0,1,3,0.16,0.197,0.93,0.0896,1
7,1,0,0,1,2,0.16,0.197,0.86,0.0896,1
6,1,1,0,1,2,0.16,0.1818,0.86,0.1045,1
1,1,2,0,1,1,0.14,0.1515,0.86,0.1343,1
5,1,5,0,1,1,0.14,0.1515,0.86,0.1642,1
16,1,6,0,1,1,0.12,0.1515,0.93,0.1343,1
54,1,7,0,1,1,0.14,0.1515,0.69,0.1343,1
128,1,8,0,1,1,0.16,0.1667,0.59,0.1642,1
81,1,9,0,1,1,0.16,0.1364,0.59,0.3284,1
39,1,10,0,1,1,0.18,0.1818,0.55,0.2239,1
35,1,11,0,1,1,0.2,0.1818,0.51,0.3881,1
55,1,12,0,1,1,0.2,0.1515,0.47,0.5821,1
49,1,13,0,1,1,0.22,0.197,0.44,0.3582,1
44,1,14,0,1,1,0.2,0.1818,0.47,0.3284,1
49,1,15,0,1,1,0.2,0.1667,0.47,0.4179,1
68,1,16,0,1,1,0.22,0.197,0.44,0.3284,1
139,1,17,0,1,1,0.2,0.1818,0.47,0.3582,1
137,1,18,0,1,1,0.2,0.1515,0.47,0.5224,1
83,1,19,0,1,1,0.18,0.1515,0.47,0.4179,1
56,1,20,0,1,1,0.16,0.1364,0.5,0.3284,1
57,1,21,0,1,1,0.16,0.1364,0.55,0.3284,1
33,1,22,0,1,1,0.16,0.1212,0.55,0.4478,1
20,1,23,0,1,1,0.14,0.1061,0.59,0.4179,1
7,1,0,0,1,1,0.14,0.1212,0.59,0.2836,1
2,1,1,0,1,1,0.14,0.1212,0.5,0.2836,1
2,1,2,0,1,1,0.14,0.1212,0.5,0.3582,1
3,1,3,0,1,1,0.14,0.1212,0.5,0.3284,1
4,1,4,0,1,1,0.14,0.1212,0.5,0.2537,1
3,1,5,0,1,1,0.14,0.1212,0.5,0.2985,1
28,1,6,0,1,1,0.12,0.1515,0.54,0.1343,1
72,1,7,0,1,1,0.12,0.1515,0.54,0.1343,1
202,1,8,0,1,1,0.14,0.1364,0.5,0.194,1
139,1,9,0,1,1,0.14,0.1212,0.5,0.3284,1
38,1,10,0,1,2,0.16,0.1364,0.5,0.3582,1
37,1,11,0,1,2,0.2,0.1667,0.44,0.4478,1
52,1,12,0,1,1,0.2,0.1667,0.44,0.4179,1
83,1,13,0,1,1,0.22,0.197,0.41,0.4478,1
42,1,14,0,1,1,0.22,0.197,0.41,0.3881,1
60,1,15,0,1,1,0.24,0.2121,0.38,0.2985,1
78,1,16,0,1,1,0.24,0.2121,0.38,0.3582,1
162,1,17,0,1,1,0.2,0.1818,0.4,0.2836,1
144,1,18,0,1,1,0.2,0.1818,0.4,0.3284,1
99,1,19,0,1,1,0.16,0.1515,0.47,0.2537,1
64,1,20,0,1,1,0.16,0.1515,0.47,0.2239,1
40,1,21,0,1,1,0.14,0.1212,0.46,0.2985,1
30,1,22,0,1,1,0.14,0.1212,0.46,0.3284,1
15,1,23,0,1,1,0.12,0.1364,0.5,0.194,1
14,1,0,0,1,1,0.12,0.1364,0.5,0.194,1
5,1,1,0,1,1,0.1,0.1212,0.54,0.1642,1
1,1,2,0,1,1,0.1,0.1212,0.54,0.1343,1
1,1,3,0,1,1,0.1,0.1364,0.54,0.1045,1
8,1,5,0,1,1,0.1,0.1364,0.54,0.0896,1
17,1,6,0,1,1,0.1,0.1818,0.54,0,1
70,1,7,0,1,1,0.1,0.1212,0.74,0.1642,1
158,1,8,0,1,1,0.12,0.1667,0.68,0,1
117,1,9,0,1,1,0.14,0.1515,0.69,0.1343,1
44,1,10,0,1,1,0.18,0.1818,0.55,0.194,1
53,1,11,0,1,1,0.18,0.1667,0.51,0.2836,1
61,1,12,0,1,1,0.2,0.197,0.44,0.2537,1
77,1,13,0,1,1,0.22,0.197,0.37,0.3881,1
64,1,14,0,1,1,0.22,0.2121,0.41,0.2836,1
68,1,15,0,1,1,0.24,0.2424,0.38,0.1642,1
90,1,16,0,1,1,0.22,0.2424,0.41,0.1045,1
159,1,17,0,1,1,0.22,0.2273,0.41,0.1642,1
139,1,18,0,1,1,0.2,0.2576,0.47,0,1
92,1,19,0,1,1,0.16,0.197,0.59,0.0896,1
68,1,20,0,1,1,0.18,0.2424,0.59,0,1
52,1,21,0,1,1,0.16,0.2273,0.69,0,1
36,1,22,0,1,2,0.16,0.2273,0.69,0,1
27,1,23,0,1,2,0.18,0.2424,0.55,0,1
28,1,0,0,0,1,0.18,0.2424,0.55,0,1
20,1,1,0,0,2,0.16,0.197,0.59,0.0896,1
12,1,2,0,0,2,0.16,0.197,0.59,0.0896,1
8,1,3,0,0,2,0.16,0.2273,0.59,0,1
5,1,4,0,0,2,0.16,0.2273,0.59,0,1
1,1,5,0,0,1,0.16,0.2273,0.59,0,1
3,1,6,0,0,1,0.14,0.1667,0.63,0.1045,1
10,1,7,0,0,1,0.14,0.2121,0.63,0,1
23,1,8,0,0,1,0.14,0.1515,0.63,0.1343,1
33,1,9,0,0,1,0.16,0.1818,0.64,0.1343,1
59,1,10,0,0,1,0.18,0.197,0.59,0.1642,1
72,1,11,0,0,1,0.2,0.197,0.55,0.2239,1
89,1,12,0,0,1,0.24,0.2273,0.48,0.2239,1
101,1,13,0,0,1,0.28,0.2576,0.38,0.2985,1
118,1,14,0,0,1,0.3,0.2879,0.39,0.2836,1
129,1,15,0,0,2,0.32,0.3182,0.36,0.194,1
128,1,16,0,0,2,0.34,0.3333,0.34,0.194,1
83,1,17,0,0,2,0.32,0.303,0.36,0.2836,1
84,1,18,0,0,2,0.3,0.2879,0.45,0.2537,1
74,1,19,0,0,2,0.32,0.303,0.39,0.2537,1
41,1,20,0,0,2,0.32,0.303,0.39,0.2537,1
57,1,21,0,0,2,0.32,0.303,0.39,0.2239,1
26,1,22,0,0,2,0.3,0.3182,0.42,0.1045,1
44,1,23,0,0,1,0.3,0.2879,0.45,0.2836,1
39,1,0,0,0,1,0.26,0.303,0.56,0,1
23,1,1,0,0,1,0.26,0.2727,0.56,0.1343,1
16,1,2,0,0,1,0.26,0.2879,0.56,0.0896,1
15,1,3,0,0,1,0.22,0.2727,0.69,0,1
1,1,4,0,0,1,0.26,0.2576,0.56,0.1642,1
2,1,5,0,0,2,0.26,0.2576,0.56,0.1642,1
1,1,6,0,0,2,0.26,0.2576,0.56,0.1642,1
3,1,7,0,0,2,0.24,0.2121,0.56,0.2985,1
18,1,8,0,0,1,0.22,0.2121,0.55,0.2836,1
32,1,9,0,0,1,0.22,0.2121,0.51,0.2537,1
79,1,10,0,0,1,0.22,0.2121,0.51,0.2836,1
93,1,11,0,0,1,0.24,0.2273,0.44,0.2537,1
104,1,12,0,0,1,0.24,0.2121,0.41,0.2836,1
118,1,13,0,0,1,0.26,0.2273,0.35,0.2985,1
91,1,14,0,0,1,0.28,0.2727,0.36,0.2537,1
113,1,15,0,0,1,0.26,0.2424,0.38,0.2537,1
99,1,16,0,0,1,0.24,0.2273,0.38,0.2239,1
105,1,17,0,0,1,0.22,0.2121,0.37,0.2537,1
67,1,18,0,0,1,0.2,0.2121,0.4,0.1642,1
61,1,19,0,0,1,0.18,0.197,0.47,0.1343,1
57,1,20,0,0,1,0.18,0.197,0.47,0.1642,1
28,1,21,0,0,1,0.18,0.197,0.51,0.1642,1
21,1,22,0,0,2,0.2,0.2121,0.49,0.1343,1
18,1,23,0,0,2,0.2,0.2273,0.4,0.1045,1
17,1,0,1,0,2,0.2,0.197,0.47,0.2239,1
16,1,1,1,0,2,0.2,0.197,0.44,0.194,1
8,1,2,1,0,2,0.18,0.1667,0.43,0.2537,1
2,1,3,1,0,2,0.18,0.1818,0.43,0.194,1
3,1,4,1,0,2,0.18,0.197,0.43,0.1343,1
1,1,5,1,0,2,0.18,0.197,0.43,0.1642,1
5,1,6,1,0,2,0.18,0.1818,0.43,0.194,1
13,1,7,1,0,2,0.16,0.1818,0.5,0.1343,1
33,1,8,1,0,2,0.16,0.1515,0.47,0.2239,1
47,1,9,1,0,2,0.16,0.1515,0.47,0.2239,1
57,1,10,1,0,2,0.16,0.1515,0.5,0.2537,1
64,1,11,1,0,2,0.16,0.1515,0.55,0.194,1
80,1,12,1,0,2,0.18,0.197,0.47,0.1343,1
93,1,13,1,0,2,0.18,0.197,0.47,0.1343,1
86,1,14,1,0,2,0.18,0.2121,0.43,0.1045,1
93,1,15,1,0,2,0.2,0.2121,0.47,0.1642,1
82,1,16,1,0,2,0.2,0.2121,0.47,0.1642,1
71,1,17,1,0,1,0.2,0.197,0.51,0.194,1
92,1,18,1,0,2,0.18,0.1667,0.55,0.2537,1
60,1,19,1,0,3,0.18,0.1818,0.59,0.194,1
33,1,20,1,0,3,0.16,0.1515,0.8,0.194,1
27,1,21,1,0,3,0.16,0.1515,0.8,0.194,1
13,1,22,1,0,3,0.14,0.1212,0.93,0.2537,1
4,1,23,1,0,3,0.16,0.1364,0.86,0.2836,1
3,1,12,0,1,2,0.2,0.1818,0.86,0.3284,1
22,1,13,0,1,2,0.2,0.197,0.86,0.2239,1
28,1,14,0,1,2,0.22,0.2273,0.8,0.1642,1
35,1,15,0,1,2,0.22,0.2273,0.87,0.1642,1
61,1,16,0,1,2,0.22,0.2273,0.87,0.194,1
125,1,17,0,1,2,0.22,0.2273,0.82,0.194,1
133,1,18,0,1,2,0.22,0.2273,0.8,0.1642,1
99,1,19,0,1,2,0.22,0.2273,0.8,0.1343,1
83,1,20,0,1,2,0.22,0.2727,0.87,0,1
41,1,21,0,1,2,0.22,0.2424,0.93,0.1045,1
33,1,22,0,1,2,0.22,0.2576,0.93,0.0896,1
20,1,23,0,1,2,0.22,0.2727,0.93,0,1
3,1,0,0,1,2,0.22,0.2727,0.93,0,1
7,1,1,0,1,3,0.22,0.2273,0.93,0.1343,1
3,1,2,0,1,3,0.22,0.2273,0.93,0.1343,1
2,1,4,0,1,3,0.22,0.2273,0.93,0.1343,1
7,1,5,0,1,2,0.22,0.2576,0.93,0.0896,1
32,1,6,0,1,2,0.22,0.2576,0.93,0.0896,1
90,1,7,0,1,2,0.24,0.2576,0.92,0.1045,1
197,1,8,0,1,2,0.24,0.2576,0.93,0.1045,1
109,1,9,0,1,2,0.24,0.2576,0.93,0.1045,1
47,1,10,0,1,2,0.26,0.2727,0.93,0.1343,1
52,1,11,0,1,2,0.28,0.303,0.87,0.0896,1
70,1,12,0,1,2,0.3,0.3182,0.81,0.0896,1
78,1,13,0,1,1,0.4,0.4091,0.62,0.2836,1
75,1,14,0,1,1,0.4,0.4091,0.58,0.2537,1
82,1,15,0,1,1,0.4,0.4091,0.54,0.2836,1
104,1,16,0,1,1,0.38,0.3939,0.58,0.3881,1
197,1,17,0,1,1,0.36,0.3333,0.57,0.3284,1
161,1,18,0,1,1,0.34,0.3182,0.61,0.2836,1
112,1,19,0,1,1,0.32,0.2879,0.57,0.4179,1
76,1,20,0,1,1,0.32,0.303,0.49,0.2985,1
59,1,21,0,1,1,0.32,0.2879,0.49,0.4179,1
59,1,22,0,1,1,0.3,0.303,0.52,0.1642,1
28,1,23,0,1,1,0.3,0.2727,0.52,0.4627,1
13,1,0,0,1,1,0.26,0.2273,0.56,0.3881,1
5,1,1,0,1,1,0.26,0.2727,0.56,0,1
2,1,2,0,1,1,0.26,0.2727,0.56,0,1
1,1,3,0,1,1,0.26,0.2576,0.56,0.1642,1
1,1,4,0,1,1,0.26,0.2576,0.56,0.1642,1
6,1,5,0,1,1,0.24,0.2273,0.6,0.2239,1
35,1,6,0,1,1,0.22,0.2121,0.6,0.2239,1
101,1,7,0,1,1,0.22,0.2121,0.55,0.2239,1
249,1,8,0,1,1,0.22,0.2121,0.55,0.2836,1
143,1,9,0,1,2,0.24,0.2273,0.52,0.2239,1
57,1,10,0,1,1,0.26,0.2273,0.48,0.2985,1
